P;D_plan;x;y;z;rx;ry;rz;fx;fy;fz;f
0.04;21.5;50.129948778942335;-0.118968987;30.685876288450117;0.049021326;-52.89189658;-0.036459623;0.074067478609294371;0.000602042;0.23122600641287189;0.24279995857491782
0.05;21.5;49.747700973346937;-0.078714686;30.661164202726241;0.209047283;-60.00003352;0.525891019;0.059779027989075577;-4.96E-05;0.33042668517859919;0.33579060279991735
0.06;21.5;49.160231574371565;-0.13516752;30.65251056197917;0.227556612;-66.95559287;-0.189778261;0.015138031;0.001131509;0.45076544973373445;0.45102098728843931
0.07;21.5;48.70898746;-0.094795093;30.638200202024336;-0.233260987;-71.8422461;0.162119895;-0.0297055;0.000416104;0.52221353225749967;0.52305789656311419
0.08;21.5;48.073533519104231;-0.099277563;30.589288630521651;0.131821895;-80.71254753;0.258484359;-0.146852038;0.000350013;0.6589751349416495;0.67513989080943682
0.09;21.5;47.9560418;-0.085730107;30.548875727689619;0.240163215;-81.43185091;0.122117261;-0.154269655;0.000762842;0.7223073290439137;0.73859839284595674
0.1;21.5;47.87112794716667;-0.110233815;30.438772835767622;0.391533319;-83.62640382;0.350915785;-0.189297596;0.001377336;0.80114425505559994;0.823205682
0;22.5;56.003298837846515;0.052008165431461251;13.001234679219806;-5.42E-07;-0.00251231;1.6749455E-05;0;0;0;0
0.01;22.5;53.606438352659453;-0.050095043;24.662524857557173;0.012745521;-24.51682008;0.121229039;0;0;0;0
0.02;22.5;51.29472183;-0.108345103;29.6873459;-0.035652001;-38.74792668;0.275064862;0.002532536;0.000222322;0.029700366695342262;0.029808974322008516
0.03;22.5;50.975372358158339;-0.072924343;29.700045981443282;0.188478354;-45.40742934;0.050435588;0.066880114;0.000693162;0.13952648283401153;0.15472901983846624
0.04;22.5;50.703051431968916;-0.106804401;29.689922966993208;0.030277452;-51.36125335;-0.08012812;0.083377664047714892;0.000142321;0.24095738697892094;0.25497513105581271
0.05;22.5;50.389146788910139;-0.109488751;29.680490174329634;0.194983339;-57.41022505;0.199026899;0.074610262400652758;0.000987829;0.33995852876008337;0.34805095652508611
0.06;22.5;49.833394273117293;0.013076066937971476;29.661452927625533;0.302337434;-65.34565762;0.220888326;0.029720744444603073;0.003074585;0.46264283889148045;0.46360669979903618
0.07;22.5;49.388868614032972;-0.108764753;29.634973206556197;0.206102927;-70.68307251;0.381137322;-0.023329438;0.001783351;0.54460032444975814;0.54510270263215022
0.08;22.5;48.627502723530043;-0.111292066;29.616241374051924;0.266754887;-78.50443359;0.265536689;-0.114419028;0.001848793;0.64891594544492415;0.65892870352081845
0.09;22.5;48.572716995075453;-0.061326422;29.56177512649333;0.334575106;-80.65956212;0.195750276;-0.160071157;-0.000502326;0.74970845074072878;0.76660667143340511
0.1;22.5;48.462323649719465;-0.110820802;29.455647864377852;0.458808253;-82.9160217;0.182177334;-0.190954117;0.001328279;0.82557472690938927;0.84737174178188357
0;23.5;56.003298396286837;0.052007625287389558;13.001240557509618;-3.79E-06;-0.002523291;2.1728774E-05;0;0;0;0
0.01;23.5;53.60016642411064;-0.032583904;24.666088261640425;0.07374777;-24.57839374;0.138957248;0;0;0;0
0.02;23.5;51.833096130684126;-0.088450723;28.698495903051253;-0.077123582;-36.80061324;0.100295138;0.004909492;7.8133874368728658E-05;0.036500061102882987;0.036828842969780708
0.03;23.5;51.732947631672133;-0.069230033;28.703129329717513;-0.003756655;-42.20099689;-0.101825188;0.035059177959222913;-0.00049264;0.12602505819315696;0.13081171180828474
0.04;23.5;51.365200503662336;-0.078264282;28.69878856;-0.025761252;-49.07660618;-0.220051344;0.087562728364958028;5.960525930644861E-05;0.24548453795379935;0.26063363813194323
0.05;23.5;50.97079591;-0.053938555;28.681769170797224;0.176827529;-55.5579429;0.045893198;0.089261543608694288;0.001660758;0.35290720266717074;0.364024553
0.06;23.5;50.529077692821744;-0.071658684;28.668479361570235;0.152734016;-62.17082065;0.133214025;0.053900891937566871;0.001100098;0.45645409875199261;0.45962687109682182
0.07;23.5;50.35463969;-0.075856422;28.661767878568526;0.191471686;-65.14644135;0.269999878;0.025494103094790808;0.001421386;0.5034749646515152;0.50412201862472206
0.08;23.5;49.380585654571775;-0.082640971;28.625871934926863;0.158217581;-76.05962966;0.267802377;-0.093161832;0.001203706;0.66402688602642934;0.67053134247300128
0.09;23.5;48.572716995075453;-0.061326422;29.56177512649333;0.334575106;-80.65956212;0.195750276;-0.160071157;-0.000502326;0.74970845074072878;0.76660667143340511
0.1;23.5;48.462323649719465;-0.110820802;29.455647864377852;0.458808253;-82.9160217;0.182177334;-0.190954117;0.001328279;0.82557472690938927;0.84737174178188357
0;16.5;56.003299548668465;0.052008495;13.001229951200685;7.981886E-06;-0.002494572;1.5388617E-05;0;0;0;0
0.01;16.5;53.661263449981917;-0.041426606;24.528261103666182;-0.017555919;-24.14859456;0.113335181;0;0;0;0
0.02;16.5;48.531941934421766;-0.124601107;34.1162006;0.170810435;-47.23786837;0.257688748;0;0;0;0
0.03;16.5;47.014335616424788;-0.122621502;35.660913147962447;0.133641921;-56.43302755;0.378251525;0.021354050444452273;0.000295219;0.077282938184310521;0.080179394
0.04;16.5;46.53413687546562;-0.149468885;35.647985138929243;0.137902368;-62.94246519;0.10084215;0.024663141161032524;0.000767712;0.17215545689635611;0.17391481033196943
0.05;16.5;45.978700264290083;-0.115473589;35.635828175580855;0.31189222;-69.35360982;0.059224399;0.005592063;0.001212862;0.26683806365276347;0.26689940880885266
0.06;16.5;45.318279608085859;-0.100802262;35.615692534482832;0.381565652;-75.71921994;0.132779043;-0.036949321;0.00055465;0.36335143866879516;0.36522572192581337
0.07;16.5;44.930670603111494;-0.138917727;35.585326113736983;0.389475392;-80.72318229;0.249810834;-0.096222158;0.000827812;0.4420793015691179;0.45243065527433468
0.08;16.5;44.780571206405867;-0.109161776;35.505528368986006;0.273384689;-82.99292602;0.413574628;-0.106918932;0.000128661;0.53475737850281491;0.545341295
0.09;16.5;44.783281310394514;-0.088061817;35.149813094175215;0.715039511;-86.48075395;1.233228112;-0.189304645;-0.001303193;0.62055185117678191;0.64878543994831606
0.1;16.5;44.79321025;-0.090928842;34.765439906156416;0.728484046;-89.90976237;0.260648356;-0.298190194;-0.002260018;0.66716887195681451;0.73077821742625093
0;15.5;56.00329873603404;0.052010367209733843;13.001241258038817;-3.01E-06;-0.002513459;1.1316161E-05;0;0;0;0
0.01;15.5;53.643555267647017;-0.058111828;24.567190804517622;-0.019294626;-24.29243657;0.129308506;0;0;0;0
0.02;15.5;48.591364963844526;-0.099896791;34.04421822074687;0.076924237;-46.98596497;0.170290506;0;0;0;0
0.03;15.5;46.20282493431877;-0.122595043;36.643259205854292;0.092431711;-58.53045848;0.225435415;0.015246278926861218;0.000151573;0.063856050654434421;0.065651102053044724
0.04;15.5;45.740068777397383;-0.13243737;36.640132823026534;0.019897221;-64.70534393;-0.001501276;0.018267578706486109;-6.38E-05;0.15920105513078586;0.16024570026616741
0.05;15.5;45.11682318;-0.112312093;36.628132739103194;0.173398643;-71.18986936;0.324403712;-0.002284519;0.000223967;0.25339434999127913;0.25340474699101129
0.06;15.5;44.385773881271589;-0.10228399;36.60603682;0.1924023;-78.13496552;0.39820015;-0.049057186;-0.000163524;0.34460448441387004;0.348078849
0.07;15.5;44.06653867562126;-0.117655311;36.564124026334639;-0.367886229;-81.78691862;0.278689287;-0.08425077;0.000600847;0.43037681667057509;0.43854618644292442
0.08;15.5;44.034271581962813;-0.152999701;36.452180542981978;-0.048957607;-83.89100199;0.726859097;-0.105300587;0.000827325;0.51747601547501842;0.52808174048145828
0.09;15.5;43.965791209533919;-0.083566356;35.945523657834883;1.023781557;-88.45523119;-0.066720414;-0.219676535;-0.002296137;0.59219857613763349;0.63163455070318264
0.1;15.5;43.83785591919731;-0.125136238;35.536066451108809;0.577049284;-92.37163668;0.602980296;-0.318755124;-0.000861009;0.64721782927932414;0.72145442628947754
0;14.5;56.00329915;0.052007768800651277;13.001234309222809;-1.80E-07;-0.002501401;1.5484358E-05;0;0;0;0
0.01;14.5;53.66010893781494;-0.047970481;24.532405414617415;0.003650323;-24.19954794;0.118462231;0;0;0;0
0.02;14.5;48.61593733628105;-0.11922571;34.02575913909709;0.012956478;-46.87392901;0.221294256;0;0;0;0
0.03;14.5;45.365748389557112;-0.107912463;37.636629977262373;0.08011318;-60.42607193;0.108192304;0.010594709699895469;0.000117796;0.051720105278632848;0.052794233013593719
0.04;14.5;44.817511423423994;-0.126900157;37.629991450345869;0.034165466;-66.80151679;-0.040169836;0.011624575182257239;0.00012731;0.14586077620246313;0.14632331663294518
0.05;14.5;44.197958215072859;-0.136686657;37.616304078138228;1.099202169;-73.05195271;-2.086462782;-0.011122453;0.000553534;0.23899525923472628;0.23925457008674197
0.06;14.5;43.472933753326643;-0.126337515;37.595350661313887;0.03110465;-79.83047685;0.90545473;-0.056556477;0.000128407;0.32918813221884713;0.33401119437720078
0.07;14.5;43.418336733177412;-0.137699132;37.54171149;-0.296495688;-82.53613753;0.346866767;-0.094378276;0.000895085;0.39951224898441645;0.4105095579747059
0.08;14.5;43.428951724365461;-0.128857299;37.39047543;-0.03737935;-84.72296771;0.495211253;-0.132040874;0.000496763;0.47619489638251578;0.49416254269115295
0.09;14.5;43.203421576812971;-0.108859951;36.824051775968428;0.769804559;-89.66085831;0.485830039;-0.240468188;0.000147998;0.56268871156260369;0.61191793350704449
0.1;14.5;43.096635802582014;-0.110393158;36.383976616895552;0.876256042;-93.76094028;0.273633047;-0.332725633;-0.002138868;0.62143816538336727;0.70490872822470929
